Manson		12.49		0.43	0.16	0.04	0.12	0.28	0.04	0.00	0.00	0.12	0.24	0.16	0.35	0.12	0.04		2.75	0.03	0.00	3.00	1.50	1.40		0.08	0.86	0.07	1.58
Blacker		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Gagne		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
McIver		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Allen		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Fistric		15.66		0.30	0.25	0.15	0.10	0.20	0.00	0.00	0.05	0.10	0.20	0.05	0.55	0.05	0.25		3.00	0.15	0.00	5.50	2.00	0.80		1.15	0.00	-0.08	1.30
Bell		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Robak		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Megna		8.36		0.37	0.05	0.05	0.00	0.23	0.09	0.00	0.00	0.09	0.19	0.14	0.37	0.19	0.05		2.67	0.10	0.00	2.00	1.33	1.00		-0.05	0.00	-0.11	0.43
O'Brien		15.24		0.35	0.35	0.24	0.12	0.18	0.00	0.00	0.00	0.18	0.24	0.06	0.47	0.06	0.06		3.00	0.20	0.00	4.00	2.00	0.60		1.30	0.86	0.00	1.45
Lind		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Nightingale		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Cantin		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Theodore		21.76		0.59	0.48	0.32	0.16	0.54	0.05	0.00	0.00	0.00	0.05	0.16	0.64	0.11	0.05		3.67	0.20	0.11	6.00	0.33	2.00		2.65	2.09	0.05	2.46
Montour		17.02		0.24	0.29	0.18	0.12	0.47	0.00	0.00	0.00	0.06	0.24	0.06	0.59	0.06	0.06		2.00	0.15	0.00	5.00	2.00	1.60		1.35	1.58	0.00	1.46
																													
																													
																													
Gagne		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
McIver		3.41		0.00	0.09	0.00	0.09	0.09	0.00	0.09	0.00	0.00	0.12	0.00	0.25	0.00	0.00		0.00	0.00	0.00	1.00	0.50	0.20		0.00	0.00	0.00	1.17
Kerdiles		4.64		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.26	0.43	0.09	0.00		0.00	0.10	0.00	2.50	1.00	0.40		0.00	0.00	0.00	0.29
Berry		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Bailey		8.70		0.31	0.06	0.06	0.00	0.17	0.00	0.06	0.00	0.06	0.16	0.16	0.39	0.16	0.00		0.40	0.10	0.00	2.50	1.00	0.60		0.16	1.64	0.03	1.31
Noesen		17.85		0.00	0.17	0.08	0.08	0.59	0.08	0.08	0.08	0.00	0.29	0.06	0.64	0.12	0.00		0.00	0.10	0.50	5.50	2.50	1.40		1.68	3.20	0.02	1.35
Kurtz		5.33		0.00	0.25	0.25	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.17	0.42	0.08	0.00		0.00	0.30	0.00	2.50	0.00	0.40		0.17	0.00	0.09	1.03
Friberg		12.29		0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.21	0.64	0.16	0.00		1.00	0.20	0.00	4.00	0.75	1.20		1.43	1.86	0.07	1.31
Winchester		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Etem		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Sarault		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Yip		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Sgarbossa		12.85		0.42	0.41	0.41	0.00	0.49	0.16	0.08	0.00	0.00	0.12	0.12	0.36	0.12	0.06		0.41	0.50	0.00	3.00	1.00	1.20		1.48	1.86	0.01	1.43
Cramarossa		5.34		0.25	0.00	0.00	0.00	0.17	0.09	0.00	0.09	0.09	0.25	0.25	0.33	0.25	0.00		0.60	0.00	0.00	1.33	1.00	0.40		0.08	0.00	0.10	1.24
Leblanc		8.47		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.17	0.43	0.17	0.00		0.00	0.08	0.00	2.50	0.50	1.20		1.43	1.29	0.00	1.31
