Clark		13.11		0.28	0.08	0.07	0.02	0.25	0.02	0.00	0.03	0.17	0.20	0.05	0.45	0.13	0.10		2.83	0.40	0.00	1.69	4.00	1.50		0.03	0.00	0.21	1.03
Manson		16.95		0.39	0.20	0.10	0.10	0.33	0.07	0.00	0.03	0.10	0.19	0.15	0.47	0.16	0.03		1.27	0.10	0.00	1.44	1.27	2.29		0.94	0.53	0.26	7.50
Blacker		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Gagne		3.27		0.28	0.17	0.06	0.11	0.22	0.17	0.00	0.00	0.00	0.06	0.22	0.17	0.39	0.00		0.63	0.05	0.00	0.21	0.25	0.67		0.06	0.00	0.02	1.33
McIver		8.22		0.29	0.07	0.00	0.07	0.36	0.00	0.00	0.07	0.22	0.29	0.00	0.58	0.14	0.14		1.00	0.00	0.00	1.60	2.00	0.50		0.00	0.00	0.07	1.24
Allen		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Fistric		11.53		0.21	0.16	0.08	0.08	0.19	0.03	0.03	0.05	0.14	0.17	0.09	0.47	0.13	0.16		1.15	0.10	0.00	1.89	1.90	3.50		0.26	0.00	0.46	0.92
Bell		10.03		0.27	0.18	0.15	0.03	0.36	0.03	0.00	0.03	0.03	0.21	0.09	0.48	0.15	0.03		1.50	0.50	0.00	1.60	2.33	1.20		0.09	0.35	0.02	1.00
Robak		12.60		0.35	0.12	0.05	0.08	0.29	0.05	0.02	0.02	0.03	0.20	0.08	0.32	0.11	0.06		2.30	0.06	0.00	1.50	2.60	3.17		0.05	0.18	0.14	1.45
Megna		13.00		0.33	0.16	0.08	0.09	0.35	0.06	0.00	0.00	0.04	0.25	0.09	0.54	0.13	0.04		1.86	0.09	0.00	2.15	2.86	2.80		0.35	0.00	0.08	1.39
O'Brien		8.63		0.28	0.19	0.11	0.08	0.28	0.07	0.00	0.00	0.11	0.12	0.13	0.35	0.19	0.08		1.05	0.13	0.00	0.93	0.90	2.10		0.37	0.15	0.03	1.93
Lind		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Nightingale		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Cantin		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Theodore		15.20		0.59	0.48	0.32	0.16	0.54	0.05	0.00	0.00	0.00	0.05	0.16	0.64	0.11	0.05		1.83	0.20	0.11	2.40	0.33	1.00		2.65	2.09	0.05	2.33
Montour		11.37		0.28	0.21	0.10	0.10	0.34	0.05	0.00	0.00	0.05	0.23	0.10	0.49	0.16	0.03		1.38	0.10	0.00	1.58	2.25	1.30		1.21	0.84	0.01	1.39
																													
																													
																													
Gagne		5.10		0.00	0.12	0.12	0.00	0.19	0.00	0.08	0.00	0.00	0.12	0.04	0.31	0.08	0.04		0.00	0.30	0.00	1.60	1.50	0.50		0.08	0.00	0.02	0.25
McIver		3.93		0.00	0.09	0.03	0.06	0.06	0.00	0.21	0.12	0.06	0.12	0.12	0.30	0.15	0.00		0.00	0.05	0.00	1.00	1.00	0.20		0.00	0.00	0.00	1.01
Kerdiles		6.34		0.06	0.14	0.08	0.06	0.20	0.06	0.00	0.06	0.03	0.11	0.14	0.28	0.06	0.00		0.67	0.15	0.00	2.00	0.80	0.70		0.03	0.42	0.12	0.82
Berry		5.96		0.00	0.23	0.15	0.08	0.23	0.00	0.08	0.08	0.08	0.31	0.15	0.46	0.23	0.00		0.00	0.20	0.00	1.00	2.00	0.30		0.08	0.00	0.00	1.23
Bailey		8.28		0.31	0.28	0.14	0.14	0.23	0.00	0.06	0.00	0.08	0.23	0.20	0.56	0.17	0.00		0.46	0.10	0.10	1.67	1.14	0.80		0.70	0.63	0.06	1.24
